ENA_RUN_ACCESSION,SET1,ANTIBIOGRAM1,SET2,ANTIBIOGRAM2,SET3,ANTIBIOGRAM3
ERR13286038,basic,RRRUSSRRSUSRRSS,nulls,RRRUSSRRSUSRRSS,nulls+minors,RRRUSSRRSUSRRSS
ERR13286039,basic,RSSSSSSSSSSSSSS,nulls,RSSSSSSSSSSSSSS,nulls+minors,RSSSRSSSRSSSSSS
ERR13286042,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286043,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286045,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286046,basic,RRSSSUSSSUUURUU,nulls,RRSSSUSSSUUURUU,nulls+minors,RRSSSUSSSUUURUU
ERR13286047,basic,RRRRSURRSSSRRSS,nulls,RRRRSURRSSSRRSS,nulls+minors,RRRRSURRSSSRRSS
ERR13286048,basic,URSRSSSSSSSSSSS,nulls,URSRSSSSSSSSSSS,nulls+minors,URRRSSSSSSSSSSS
ERR13286049,basic,RRSSSSSSSSSSRSS,nulls,RRSSSSSSSSSSRSS,nulls+minors,RRSSSSSSSSSSRSS
ERR13286050,basic,RRRRSSRRSSSUUSS,nulls,RRRRSSRRSSSUUSS,nulls+minors,RRRRSSRRSSSUUSS
ERR13286051,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286052,basic,RRRRSSSSSSSRUSS,nulls,RRRRSSSSSSSRUSS,nulls+minors,RRRRSSSSSSSRUSS
ERR13286053,basic,RRSSSUSSSUSSRSS,nulls,RRSSSUSSSUSSRSS,nulls+minors,RRSSSUSSSUSSRSS
ERR13286054,basic,RRSSSSSSSUSSSSS,nulls,RRSSSSSSSUSSSSS,nulls+minors,RRSSSSSSSUSSSSS
ERR13286055,basic,RRSRSSSSSSSRSSS,nulls,RRSRSSSSSSSRSSS,nulls+minors,RRSRSSSSSSSRSSS
ERR13286056,basic,RRSSSSSSUSSSRSS,nulls,RRSSSSSSUSSSRSS,nulls+minors,RRSSSSSSUSSSRSS
ERR13286057,basic,RRSRSSSSSSSRRSS,nulls,RRSRSSSSSSSRRSS,nulls+minors,RRSRSSSSSSSRRSS
ERR13286058,basic,SSSSSUSSSUSSSSS,nulls,SSSSSUSSSUSSSSS,nulls+minors,SSSSSUSSSUSSSSS
ERR13286059,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286060,basic,RRRUSSSSSUSUSSS,nulls,RRRUSSSSSUSUSSS,nulls+minors,RRRUSSSSSUSUSSS
ERR13286062,basic,RRRRSSRRUSSSRSS,nulls,RRRRSSRRUSSSRSS,nulls+minors,RRRRSSRRUSSSRSS
ERR13286063,basic,RSRRSSSSSSSRSSS,nulls,RSRRSSSSSSSRSSS,nulls+minors,RRRRSSSSSSSRSSS
ERR13286064,basic,RSRRSSSSSSSRSSS,nulls,RSRRSSSSSSSRSSS,nulls+minors,RRRRSSSSSSSRSSS
ERR13286066,basic,RRRUSSRRSUSRRSS,nulls,RRRUSSRRSUSRRSS,nulls+minors,RRRUSSRRSUSRRSS
ERR13286067,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286068,basic,SRSSSSSSSUSSSSS,nulls,SRSSSSSSSUSSSSS,nulls+minors,SRSSSSSSSUSSSSS
ERR13286069,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286070,basic,SRSSSSSSSSUSSUS,nulls,SRSSSSSSSSUSSUS,nulls+minors,SRSSSSSSSSUSSUS
ERR13286071,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13286072,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13286073,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,RRRSSSSSSSSSRSS
ERR13286074,basic,RRSSSSSSSSSRSSS,nulls,RRSSSSSSSSSRSSS,nulls+minors,RRSSSSSSSSSRSSS
ERR13286075,basic,RRSSSSSSSSSRSSS,nulls,RRSSSSSSSSSRSSS,nulls+minors,RRSSSSSSSSSRSSS
ERR13286076,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,SSSSSSSSSSSSSSS
ERR13286077,basic,RRRRSSSSSSSSRSS,nulls,RRRRSSSSSSSSRSS,nulls+minors,RRRRSSSSSSSSRSS
ERR13286078,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,RRSRSSSSSSRSRRR
ERR13286080,basic,URSRSSRRSSSSRSS,nulls,URSRSSRRSSSSRSS,nulls+minors,URSRSSRRSSSSRSS
ERR13286081,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286082,basic,RRRRSUSSSSSRRSS,nulls,RRRRSUSSSSSRRSS,nulls+minors,RRRRSUSSSSSRRSS
ERR13286083,basic,RRRRSSSSSUSRUSS,nulls,RRRRSSSSSUSRUSS,nulls+minors,RRRRSSSSSUSRUSS
ERR13286084,basic,RRRRSSUUSSSRRUS,nulls,RRRRSSUUSSSRRUS,nulls+minors,RRRRSSUUSSSRRUS
ERR13286085,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,RRSRSSSSSSSSSSS
ERR13286087,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286088,basic,RRRRSUSSSSSRRSS,nulls,RRRRSUSSSSSRRSS,nulls+minors,RRRRSUSSSSSRRSS
ERR13286089,basic,RRRRSUSSSUSRSSS,nulls,RRRRSUSSSUSRSSS,nulls+minors,RRRRSUSSSUSRSSS
ERR13286090,basic,RRSRSSSSSSSRRSS,nulls,RRSRSSSSSSSRRSS,nulls+minors,RRSRSSSSSSSRRSS
ERR13286091,basic,SSSSSSSSSUSSSSS,nulls,SSSSSSSSSUSSSSS,nulls+minors,SSSSSSSSSUSSSSS
ERR13286093,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13286094,basic,USSSSSSSSSSSUSS,nulls,USSSSSSSSSSSUSS,nulls+minors,RRRRSSSSSSSSRSS
ERR13286095,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286096,basic,SRSSSSSSSSUSSUS,nulls,SRSSSSSSSSUSSUS,nulls+minors,SRSSSSSSSSUSSUS
ERR13286097,basic,RRURSSRRSUSRUSS,nulls,RRURSSRRSUSRUSS,nulls+minors,RRURSSRRSUSRUSS
ERR13286098,basic,RRURSSRRSUSRUSS,nulls,RRURSSRRSUSRUSS,nulls+minors,RRURSSRRSUSRUSS
ERR13286099,basic,RRRSSSUUSSSRRSS,nulls,RRRSSSUUSSSRRSS,nulls+minors,RRRSSSUUSSSRRSS
ERR13286100,basic,SRSSSSSSSUSSSSS,nulls,SRSSSSSSSUSSSSS,nulls+minors,SRSSSSSSSUSSSSS
ERR13286102,basic,RRRRSSSSSUSRSSS,nulls,RRRRSSSSSUSRSSS,nulls+minors,RRRRSSSSSUSRSSS
ERR13286103,basic,RRRRRRRRRSRRRRR,nulls,RRRRRRRRRSRRRRR,nulls+minors,RRRRRRRRRSRRRRR
ERR13286104,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286105,basic,RSSSSUUUSUSSRSS,nulls,RSSSSUUUSUSSRSS,nulls+minors,RRSSSUUUSUSSRSS
ERR13286106,basic,RRSSUSSSUSSSRSS,nulls,RRSSUSSSUSSSRSS,nulls+minors,RRSSUSSSUSSSRSS
ERR13286107,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286109,basic,RRRRSSSSSUSRSSS,nulls,RRRRSSSSSUSRSSS,nulls+minors,RRRRSSSSSUSRSSS
ERR13286110,basic,RRRRSSUUSSSURSS,nulls,RRRRSSUUSSSURSS,nulls+minors,RRRRSSUUSSSURSS
ERR13286111,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286112,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286113,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286115,basic,RRRRUUSSUSSRUSS,nulls,RRRRUUSSUSSRUSS,nulls+minors,RRRRUUSSUSSRUSS
ERR13286116,basic,RRSRSSRRSSRUURR,nulls,RRSRSSRRSSRUURR,nulls+minors,RRSRSSRRSSRUURR
ERR13286117,basic,RRURSSRRSUSRUSS,nulls,RRURSSRRSUSRUSS,nulls+minors,RRURSSRRSUSRUSS
ERR13286118,basic,RRRUSSRRSURRRRR,nulls,RRRUSSRRSURRRRR,nulls+minors,RRRUSSRRSURRRRR
ERR13286119,basic,RRRUSSRRSSSRUSS,nulls,RRRUSSRRSSSRUSS,nulls+minors,RRRUSSRRSSSRUSS
ERR13286120,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286121,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286122,basic,RRRRSSUUSUSRRSS,nulls,RRRRSSUUSUSRRSS,nulls+minors,RRRRSSUUSUSRRSS
ERR13286123,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR13286125,basic,RRRRSSRRSSSSRSU,nulls,RRRRSSRRSSSSRSU,nulls+minors,RRRRSSRRSSSSRSU
ERR13286126,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286127,basic,RRRUSSRRSSSRUSS,nulls,RRRUSSRRSSSRUSS,nulls+minors,RRRUSSRRSSSRUSS
ERR13286128,basic,USSSSSSSSSSSSSS,nulls,USSSSSSSSSSSSSS,nulls+minors,URSSSSSSSSSSSSS
ERR13286129,basic,RRSSSSSSSSUURUU,nulls,RRSSSSSSSSUURUU,nulls+minors,RRSSSSSSSSUURUU
ERR13286130,basic,RRRRSUUUSSRRRRR,nulls,RRRRSUUUSSRRRRR,nulls+minors,RRRRSUUUSSRRRRR
ERR13286132,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286133,basic,RRRUSSSSSUSRRSS,nulls,RRRUSSSSSUSRRSS,nulls+minors,RRRUSSSSSUSRRSS
ERR13286134,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR13286135,basic,SRSSSSSSSSUSSUS,nulls,SRSSSSSSSSUSSUS,nulls+minors,SRSSSSRRSSUSSUS
ERR13286136,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286137,basic,RRURSSRRSUSRUSS,nulls,RRURSSRRSUSRUSS,nulls+minors,RRURSSRRSUSRUSS
ERR13286138,basic,SRSSSSSSSSUSSUS,nulls,SRSSSSSSSSUSSUS,nulls+minors,SRSSSSRRSSUSSUS
ERR13286139,basic,SRSSSSSSSSUSSUS,nulls,SRSSSSSSSSUSSUS,nulls+minors,SRSSSSRRSSUSSUS
ERR13286140,basic,SRSSSSRRSSUSSUS,nulls,SRSSSSRRSSUSSUS,nulls+minors,SRSSSSRRSSUSSUS
ERR13286141,basic,RRRRSSSSSSSRUSS,nulls,RRRRSSSSSSSRUSS,nulls+minors,RRRRSSSSSSSRUSS
ERR13286143,basic,RRRRSSSSUSRURRR,nulls,RRRRSSSSUSRURRR,nulls+minors,RRRRSSSSUSRURRR
ERR13286144,basic,RRRRSSRRSSSRRSR,nulls,RRRRSSRRSSSRRSR,nulls+minors,RRRRSSRRSSSRRSR
ERR13286145,basic,URSRSSRRSSSSRSS,nulls,URSRSSRRSSSSRSS,nulls+minors,URSRSSRRSSSSRSS
ERR13286146,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286147,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286148,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286149,basic,RRRRSSSSUSSSRSS,nulls,RRRRSSSSUSSSRSS,nulls+minors,RRRRSSSSUSSSRSS
ERR13286150,basic,RRRSSSRRUSSRRSS,nulls,RRRSSSRRUSSRRSS,nulls+minors,RRRSSSRRUSSRRSS
ERR13286152,basic,RRSSSSRRUSSSRSS,nulls,RRSSSSRRUSSSRSS,nulls+minors,RRSSSSRRUSSSRSS
ERR13286153,basic,RRRRRRRRRSRRRRR,nulls,RRRRRRRRRSRRRRR,nulls+minors,RRRRRRRRRSRRRRR
ERR13286155,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13286156,basic,RRSSSSSSSSSRSSS,nulls,RRSSSSSSSSSRSSS,nulls+minors,RRSSSSSSSSSRSSS
ERR13286157,basic,SSSUSSSSSSUSSUS,nulls,SSSUSSSSSSUSSUS,nulls+minors,SSSUSSSSSSUSSUS
ERR13286158,basic,RRRRSUSSSUURUUU,nulls,RRRRSUSSSUURUUU,nulls+minors,RRRRSUSSSUURUUU
ERR13286159,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286160,basic,RRSRSSSSSSSSSSS,nulls,RRSRSSSSSSSSSSS,nulls+minors,RRSRSSSSSSSSSSS
ERR13286161,basic,URSSSSSSSSSSSSS,nulls,URSSSSSSSSSSSSS,nulls+minors,URSSSSSSSSSSSSS
ERR13286162,basic,RRSSSSSSSSSSRSS,nulls,RRSSSSSSSSSSRSS,nulls+minors,RRSSSSSSSSSSRSS
ERR13286163,basic,RRRRSRRRSSSRRRS,nulls,RRRRSRRRSSSRRRS,nulls+minors,RRRRSRRRSSSRRRS
ERR13286166,basic,RRSSSSSSSSSRSSS,nulls,RRSSSSSSSSSRSSS,nulls+minors,RRSSSSSSSSSRSSS
ERR13286168,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR13286169,basic,RRRRSUSSSSRRRRR,nulls,RRRRSUSSSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286170,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286171,basic,URSSSSSSSSSSSSS,nulls,URSSSSSSSSSSSSS,nulls+minors,URSSSSSSSSSSSSS
ERR13286173,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286176,basic,RRURSSSSSSSSRSS,nulls,RRURSSSSSSSSRSS,nulls+minors,RRURSSSSSSSSRSS
ERR13286177,basic,RRRRSSRRSSSURSS,nulls,RRRRSSRRSSSURSS,nulls+minors,RRRRRSRRSSSURSS
ERR13286178,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286179,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286180,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13286181,basic,RRRRRRRRRSRRRRR,nulls,RRRRRRRRRSRRRRR,nulls+minors,RRRRRRRRRSRRRRR
ERR13286182,basic,RRRRSSSSSSUUSUS,nulls,RRRRSSSSSSUUSUS,nulls+minors,RRRRSSSSSSUUSUS
ERR13286184,basic,SSSSSSSSSSSUSSS,nulls,SSSSSSSSSSSUSSS,nulls+minors,SSSSSSSSSSSUSSS
ERR13286185,basic,RRSRSSSSUSSSRSS,nulls,RRSRSSSSUSSSRSS,nulls+minors,RRSRSSSSUSSSRSS
ERR13286186,basic,RRSRSSUUSSSSRSS,nulls,RRSRSSUUSSSSRSS,nulls+minors,RRSRSSUUSSSSRSS
ERR13286187,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR13286188,basic,SRSSSSSSSUSSSSS,nulls,SRSSSSSSSUSSSSS,nulls+minors,SRSSSSSSSUSSSSS
ERR13286189,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR13286190,basic,RRRSSSSSUSSRRSS,nulls,RRRSSSSSUSSRRSS,nulls+minors,RRRSSSSSUSSRRSS
ERR13286191,basic,SRSSUSSSUSSSSSS,nulls,SRSSUSSSUSSSSSS,nulls+minors,SRSSUSSSUSSSSSS
ERR13286192,basic,RRRSSSSSUSSRRUS,nulls,RRRSSSSSUSSRRUS,nulls+minors,RRRSSSSSUSSRRUS
ERR13286193,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286194,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286195,basic,RRRRUSRRUSSRRSS,nulls,RRRRUSRRUSSRRSS,nulls+minors,RRRRUSRRUSSRRSS
ERR13286196,basic,RRRRSSRRSSSRRRS,nulls,RRRRSSRRSSSRRRS,nulls+minors,RRRRSSRRSSSRRRS
ERR13286197,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,SSSSSSSSSSSSSSS
ERR13286198,basic,RRSRSSSSUSSSRSS,nulls,RRSRSSSSUSSSRSS,nulls+minors,RRSRSSSSUSSSRSS
ERR13286199,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286200,basic,RRRRSSRRSUSRSSS,nulls,RRRRSSRRSUSRSSS,nulls+minors,RRRRSSRRSUSRSSS
ERR13286201,basic,RSSSSSRRSSRUSRR,nulls,RSSSSSRRSSRUSRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286202,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286203,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286204,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13286205,basic,RRRRSSRRSSSRRSS,nulls,RRRRSSRRSSSRRSS,nulls+minors,RRRRSSRRSSSRRSS
ERR13286206,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286207,basic,RRRRSSRRSSSRRSS,nulls,RRRRSSRRSSSRRSS,nulls+minors,RRRRSSRRSSSRRSS
ERR13286208,basic,RRRRSSRRSSSSRSS,nulls,RRRRSSRRSSSSRSS,nulls+minors,RRRRSSRRSSSSRSS
ERR13286209,basic,RRRRUUSSUSSRUSS,nulls,RRRRUUSSUSSRUSS,nulls+minors,RRRRUUSSUSSRUSS
ERR13286210,basic,RRSSSSSSSSSUUSS,nulls,RRSSSSSSSSSUUSS,nulls+minors,RRSSSSSSSSSUUSS
ERR13286211,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13286213,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13286214,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13286215,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,RRRRSSRRSSSRRSS
ERR13286216,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,RRRRSSRRSSSRRSS
ERR13286217,basic,RRRSSSRRUSSRRUS,nulls,RRRSSSRRUSSRRUS,nulls+minors,RRRSSSRRUSSRRUS
ERR13286226,basic,URSSSSSSSSUSSUS,nulls,URSSSSSSSSUSSUS,nulls+minors,URSSSSSSSSUSSUS
ERR13287637,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR13288720,basic,RRRRSSSSSSSRUSS,nulls,RRRRSSSSSSSRUSS,nulls+minors,RRRRSSSSSSSRUSS
ERR13288721,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR13288722,basic,UUSRSSSSSSSSSSS,nulls,UUSRSSSSSSSSSSS,nulls+minors,UUSRSSSSSSSSSSS
ERR13288723,basic,RRRRSSRRSUSRRSS,nulls,RRRRSSRRSUSRRSS,nulls+minors,RRRRSSRRSUSRRSS
ERR13288724,basic,RRRRSSSSSSUUSUS,nulls,RRRRSSSSSSUUSUS,nulls+minors,RRRRSSSSSSUUSUS
ERR13288725,basic,RRSSSSSSUSSSRSS,nulls,RRSSSSSSUSSSRSS,nulls+minors,RRSSSSSSUSSSRSS
ERR13288726,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,SSSSSSSSSSSSSSS
ERR13288727,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13288729,basic,SSSSSSUUSSSSSSS,nulls,SSSSSSUUSSSSSSS,nulls+minors,SSSSSSUUSSSSSSS
ERR13288730,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13288731,basic,SRSSSSSSSUSSSSS,nulls,SRSSSSSSSUSSSSS,nulls+minors,SRSSSSSSSUSSSSS
ERR13288732,basic,RRRRSSSSUSSSRSS,nulls,RRRRSSSSUSSSRSS,nulls+minors,RRRRSSSSUSSSRSS
ERR13288733,basic,RRRSSSSSSSSRSSS,nulls,RRRSSSSSSSSRSSS,nulls+minors,RRRSSSRRSSSRRSS
ERR13288734,basic,SRSUSSSSSSSSSSS,nulls,SRSUSSSSSSSSSSS,nulls+minors,RRSUSSSSSSSSRSS
ERR13288736,basic,RRSRSSSSSSSRSSS,nulls,RRSRSSSSSSSRSSS,nulls+minors,RRSRSSSSSSSRSSS
ERR13288737,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13288739,basic,URSSSSSSSSSSSSS,nulls,URSSSSSSSSSSSSS,nulls+minors,URSSSSSSSSSSSSS
ERR13288740,basic,RRSUSSUSSSSUSSS,nulls,RRSUSSUSSSSUSSS,nulls+minors,RRSUSSUSSSSUSSS
ERR13288741,basic,RRRUSSRRSSSRUSS,nulls,RRRUSSRRSSSRUSS,nulls+minors,RRRUSSRRSSSRUSS
ERR13288742,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,SSSSSSSSSSSSSSS
ERR13288744,basic,RRRRSSUUSSRRRRR,nulls,RRRRSSUUSSRRRRR,nulls+minors,RRRRSSUUSSRRRRR
ERR13288745,basic,RRRUSSSSSUSUSSS,nulls,RRRUSSSSSUSUSSS,nulls+minors,RRRUSSSSSUSUSSS
ERR13288746,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13288747,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSRSSRRSSSSSSS
ERR13288748,basic,RRRSSSSSSUSSSSS,nulls,RRRSSSSSSUSSSSS,nulls+minors,RRRSSSSSSUSSSSS
ERR13288749,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13288751,basic,USSSSSSSSSSSSSS,nulls,USSSSSSSSSSSSSS,nulls+minors,USSSSSSSSSSSSSS
ERR13288752,basic,RRSRSSRRSSSSRSS,nulls,RRSRSSRRSSSSRSS,nulls+minors,RRSRSSRRSSSSRSS
ERR13288753,basic,RRRRSURRSSRRRRR,nulls,RRRRSURRSSRRRRR,nulls+minors,RRRRSURRSSRRRRR
ERR13288754,basic,RRSUSSSSSSSSRSS,nulls,RRSUSSSSSSSSRSS,nulls+minors,RRSUSSSSSSSSRSS
ERR13288755,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13288756,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13288757,basic,SSSSSSSSSSSSSSS,nulls,SSSSSSSSSSSSSSS,nulls+minors,SSSSSSSSSSSSSSS
ERR13288758,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13288759,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13288761,basic,RRRRSSSSSSSUSSS,nulls,RRRRSSSSSSSUSSS,nulls+minors,RRRRSSSSSSSUSSS
ERR13288762,basic,RRSSSSSSSSSSSSS,nulls,RRSSSSSSSSSSSSS,nulls+minors,RRSSSSSSSSSSSSS
ERR13288763,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR13288764,basic,RRRSSSSSUSSRRUS,nulls,RRRSSSSSUSSRRUS,nulls+minors,RRRSSSSSUSSRRUS
ERR13288765,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13288767,basic,SSSUSSSSSSSSSSS,nulls,SSSUSSSSSSSSSSS,nulls+minors,SSSUSSSSSSSSSSS
ERR13288768,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR13288769,basic,RRRRSURRSSSRRSS,nulls,RRRRSURRSSSRRSS,nulls+minors,RRRRSURRSSSRRSS
ERR13288770,basic,RRRRSSSSSSSRUUS,nulls,RRRRSSSSSSSRUUS,nulls+minors,RRRRSSSSSSSRUUS
ERR13288771,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
