ENA_RUN_ACCESSION,SET1,ANTIBIOGRAM1,SET2,ANTIBIOGRAM2,SET3,ANTIBIOGRAM3
ERR9992956,basic,RRRRSSRRSSSRUSS,nulls,RRRRSSRRSSSRUSS,nulls+minors,RRRRSRRRSSSRUSS
ERR9992957,basic,RRRRRRRRRSSRRSS,nulls,RRRRRRRRRSSRRSS,nulls+minors,RRRRRRRRRSSRRSS
ERR9992958,basic,RRRRRSRRRSRRRRR,nulls,RRRRRSRRRSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9992959,basic,RRRRSSRRSSSRUSS,nulls,RRRRSSRRSSSRUSS,nulls+minors,RRRRRSRRRSSRUSS
ERR9992960,basic,RRRRRRRRRSRRRRR,nulls,RRRRRRRRRSRRRRR,nulls+minors,RRRRRRRRRSRRRRR
ERR9992961,basic,RRRRRSRRRSSRRUS,nulls,RRRRRSRRRSSRRUS,nulls+minors,RRRRRSRRRSSRRUS
ERR9992963,basic,RRRRRSRRRSSRRUS,nulls,RRRRRSRRRSSRRUS,nulls+minors,RRRRRSRRRSSRRUS
ERR9992965,basic,RRRRSSRRSSSRUSS,nulls,RRRRSSRRSSSRUSS,nulls+minors,RRRRSSRRSSSRUSS
ERR9992966,basic,RRRRSSRRSSSRUSS,nulls,RRRRSSRRSSSRUSS,nulls+minors,RRRRSSRRSSSRUSS
ERR9992967,basic,RRRRSRRRSSRRRRR,nulls,RRRRSRRRSSRRRRR,nulls+minors,RRRRSRRRSSRRRRR
ERR9992969,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9992970,basic,RRRRSSRRSUSRUSS,nulls,RRRRSSRRSUSRUSS,nulls+minors,RRRRSSRRSUSRUSS
ERR9992971,basic,RRRRRSRRRSSUUSS,nulls,RRRRRSRRRSSUUSS,nulls+minors,RRRRRSRRRSSUUSS
ERR9992974,basic,RRRRSSRRSSSRRSS,nulls,RRRRSSRRSSSRRSS,nulls+minors,RRRRSSRRSSSRRSS
ERR9992976,basic,RRRRRUSSRSSRRSS,nulls,RRRRRUSSRSSRRSS,nulls+minors,RRRRRUSSRSSRRSS
ERR9992982,basic,RRRRSRSSUSSSRSS,nulls,RRRRSRSSUSSSRSS,nulls+minors,RRRRSRSSUSSSRSS
ERR9992983,basic,RRSRRSRRRSSRRSS,nulls,RRSRRSRRRSSRRSS,nulls+minors,RRSRRSRRRSSRRSS
ERR9992987,basic,SSSSRSRRRUUUSUU,nulls,SSSSRSRRRUUUSUU,nulls+minors,SSSSRSRRRUUUSUU
ERR9992989,basic,RRRSRSRRRSRRRRR,nulls,RRRSRSRRRSRRRRR,nulls+minors,RRRSRSRRRSRRRRR
ERR9992990,basic,URSSRSSSRSSSSSS,nulls,URSSRSSSRSSSSSS,nulls+minors,URSSRSSSRSSSSSS
ERR9992991,basic,RRRRUSRRUSSRRRS,nulls,RRRRUSRRUSSRRRS,nulls+minors,RRRRUSRRUSSRRRS
ERR9992994,basic,RRRRUSRRUSRRRRR,nulls,RRRRUSRRUSRRRRR,nulls+minors,RRRRUSRRUSRRRRR
ERR9992996,basic,RRRRUSRRUSRRRRR,nulls,RRRRUSRRUSRRRRR,nulls+minors,RRRRUSRRUSRRRRR
ERR9992997,basic,RRRRSSRRSSSRUSS,nulls,RRRRSSRRSSSRUSS,nulls+minors,RRRRSSRRSSSRUSS
ERR9992998,basic,RRRRSSRRSSSRRSS,nulls,RRRRSSRRSSSRRSS,nulls+minors,RRRRSSRRSSSRRSS
ERR9993000,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR9993001,basic,SSSSUSRRUUSSSSS,nulls,SSSSUSRRUUSSSSS,nulls+minors,SSSSUSRRUUSSSSS
ERR9993002,basic,RRRRSSSSSSRRRRR,nulls,RRRRSSSSSSRRRRR,nulls+minors,RRRRSSSSSSRRRRR
ERR9993012,basic,RRRRRSRRRSSRSSS,nulls,RRRRRSRRRSSRSSS,nulls+minors,RRRRRSRRRSSRSSS
ERR9993013,basic,URSSRSSSRSSSSSS,nulls,URSSRSSSRSSSSSS,nulls+minors,URSSRSSSRSSSSSS
ERR9993014,basic,RRSSSSSSSSSURSS,nulls,RRSSSSSSSSSURSS,nulls+minors,RRSSSSSSSSSURSS
ERR9993018,basic,RRRRRURRRSSRRSS,nulls,RRRRRURRRSSRRSS,nulls+minors,RRRRRURRRSSRRSS
ERR9993023,basic,RRRRRSRRRUSRUSS,nulls,RRRRRSRRRUSRUSS,nulls+minors,RRRRRSRRRUSRUSS
ERR9993028,basic,RRRRRSRRRUSRUSS,nulls,RRRRRSRRRUSRUSS,nulls+minors,RRRRRSRRRUSRUSS
ERR9993031,basic,RRRRSSRRSSSRRSS,nulls,RRRRSSRRSSSRRSS,nulls+minors,RRRRSSRRSSSRRSS
ERR9993035,basic,RRRRRSSSRSSRSSS,nulls,RRRRRSSSRSSRSSS,nulls+minors,RRRRRSSSRSSRSSS
ERR9993036,basic,URSSSSSSSSSSSSS,nulls,URSSSSSSSSSSSSS,nulls+minors,URSSSSSSSSSSSSS
ERR9993041,basic,RRSRSSRRSUSSSSS,nulls,RRSRSSRRSUSSSSS,nulls+minors,RRSRSSRRSUSSSSS
ERR9993043,basic,RRRRRSRRRSSRRUS,nulls,RRRRRSRRRSSRRUS,nulls+minors,RRRRRSRRRSSRRUS
ERR9993045,basic,RRRRRRRRRSRRRRR,nulls,RRRRRRRRRSRRRRR,nulls+minors,RRRRRRRRRSRRRRR
ERR9993046,basic,RRSSRSRRRSRUURR,nulls,RRSSRSRRRSRUURR,nulls+minors,RRSSRSRRRSRUURR
ERR9993047,basic,SRSSUSRRUUSSSSS,nulls,SRSSUSRRUUSSSSS,nulls+minors,SRSSUSRRUUSSSSS
ERR9993049,basic,RRRUSSRRSUSRRSS,nulls,RRRUSSRRSUSRRSS,nulls+minors,RRRUSSRRSUSRRSS
ERR9993051,basic,RRSSSSSSSSURSUS,nulls,RRSSSSSSSSURSUS,nulls+minors,RRSSSSSSSSURSUS
ERR9993052,basic,RRRRSSSSSSSUSSS,nulls,RRRRSSSSSSSUSSS,nulls+minors,RRRRSSSSSSSUSSS
ERR9993053,basic,RRRRRSSSRSSRSSS,nulls,RRRRRSSSRSSRSSS,nulls+minors,RRRRRSRRRSSRSSS
ERR9993056,basic,RRRRSSUUSSSRRUS,nulls,RRRRSSUUSSSRRUS,nulls+minors,RRRRRSRRSSSRRUS
ERR9993059,basic,RRRRUSRRUSSRRUS,nulls,RRRRUSRRUSSRRUS,nulls+minors,RRRRUSRRUSSRRUS
ERR9993061,basic,RRRRUSRRUSSRSSS,nulls,RRRRUSRRUSSRSSS,nulls+minors,RRRRUSRRUSSRSSS
ERR9993062,basic,RRRRRSRRRSSRRUS,nulls,RRRRRSRRRSSRRUS,nulls+minors,RRRRRSRRRSSRRUS
ERR9993068,basic,RRRRRSRRRSSSRSS,nulls,RRRRRSRRRSSSRSS,nulls+minors,RRRRRSRRRSSSRSS
ERR9993069,basic,RRRRRRRRRSSRUSS,nulls,RRRRRRRRRSSRUSS,nulls+minors,RRRRRRRRRSSRUSS
ERR9993070,basic,RRRRRRRRRSRRRRR,nulls,RRRRRRRRRSRRRRR,nulls+minors,RRRRRRRRRSRRRRR
ERR9993072,basic,SRSSRSSSRSSSSSS,nulls,SRSSRSSSRSSSSSS,nulls+minors,SRSSRSRRRSSSSSS
ERR9993075,basic,RRRRRSRRRSSRSSS,nulls,RRRRRSRRRSSRSSS,nulls+minors,RRRRRSRRRSSRSSS
ERR9993077,basic,RRRRRRRRRSSRUSS,nulls,RRRRRRRRRSSRUSS,nulls+minors,RRRRRRRRRSSRUSS
ERR9993078,basic,SRSSRSRRRSSSSSS,nulls,SRSSRSRRRSSSSSS,nulls+minors,SRSSRSRRRSSSSSS
ERR9993079,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993080,basic,RRRRSUSSSSSRRSS,nulls,RRRRSUSSSSSRRSS,nulls+minors,RRRRSUSSSSSRRSS
ERR9993081,basic,RRRRSUSSSUSRRSS,nulls,RRRRSUSSSUSRRSS,nulls+minors,RRRRSURRSUSRRSS
ERR9993088,basic,RRRRSSUUSSSRRSS,nulls,RRRRSSUUSSSRRSS,nulls+minors,RRRRSSUUSSSRRSS
ERR9993089,basic,RRRRSRRRSSSRUSS,nulls,RRRRSRRRSSSRUSS,nulls+minors,RRRRSRRRSSSRUSS
ERR9993091,basic,SRSSSSSSSSSSSSS,nulls,SRSSSSSSSSSSSSS,nulls+minors,SRSSRSSSSSSSSSS
ERR9993094,basic,RRRRRSRRRSSRUUS,nulls,RRRRRSRRRSSRUUS,nulls+minors,RRRRRSRRRSSRUUS
ERR9993098,basic,RRRRRSRRRSRRRRR,nulls,RRRRRSRRRSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993100,basic,SRRSRSRRRSSSSSS,nulls,SRRSRSRRRSSSSSS,nulls+minors,SRRSRSRRRSSSSSS
ERR9993102,basic,RRRRSSUUSSSRRSS,nulls,RRRRSSUUSSSRRSS,nulls+minors,RRRRSSUUSSSRRSS
ERR9993105,basic,RRRRSSRRSSRRRRS,nulls,RRRRSSRRSSRRRRS,nulls+minors,RRRRSSRRSSRRRRS
ERR9993108,basic,RRURSSRRUSSSRSS,nulls,RRURSSRRUSSSRSS,nulls+minors,RRURSSRRUSSSRSS
ERR9993109,basic,USSRSSRRSUSSSSS,nulls,USSRSSRRSUSSSSS,nulls+minors,USSRSSRRSUSSSSS
