UNIQUEID,WCHG_ID,ENA_RUN_ACCESSION,ENA_SAMPLE_ACCESSION,ENA_STUDY_ACCESSION,HAS_ALL_DRUGS,N_SUSCEPTIBLE,N_RESISTANT,N_DRUGS,BDQ,CAP,LZD,PZA,STM,FASTQ_FTP
site.10.subj.IE00806700.lab.IE00806700.iso.1,WTCHG_933274_70785054,ERR9992660,SAMEA110420018,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9992660/ERR9992660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9992660/ERR9992660_2.fastq.gz
site.10.subj.IE00889190.lab.IE00889190.iso.1,WTCHG_933275_72115283,ERR9992688,SAMEA110420046,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992688/ERR9992688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992688/ERR9992688_2.fastq.gz
site.10.subj.IF02620005.lab.IF02620005.iso.1,WTCHG_933275_73585334,ERR9992707,SAMEA110420065,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992707/ERR9992707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992707/ERR9992707_2.fastq.gz
site.10.subj.IG02063784.lab.IG02063784.iso.1,WTCHG_933274_70815057,ERR9992663,SAMEA110420021,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992663/ERR9992663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992663/ERR9992663_2.fastq.gz
site.10.subj.UH01824689.lab.UH01824689.iso.1,WTCHG_934881_73205296,ERR9993200,SAMEA110420702,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9993200/ERR9993200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9993200/ERR9993200_2.fastq.gz
site.10.subj.UH01834430.lab.UH01834430.iso.1,WTCHG_934881_73215297,ERR9993201,SAMEA110420715,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9993201/ERR9993201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9993201/ERR9993201_2.fastq.gz
site.10.subj.TD03101377.lab.TD03101377.iso.1,WTCHG_934881_73785354,ERR9993240,SAMEA110420762,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9993240/ERR9993240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9993240/ERR9993240_2.fastq.gz
site.10.subj.TD02554711.lab.TD02554711.iso.1,WTCHG_934394_71595135,ERR9992895,SAMEA110420252,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/005/ERR9992895/ERR9992895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/005/ERR9992895/ERR9992895_2.fastq.gz
site.10.subj.TD02624056.lab.TD02624056.iso.1,WTCHG_933275_73735349,ERR9992718,SAMEA110420076,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992718/ERR9992718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992718/ERR9992718_2.fastq.gz
site.10.subj.LA00996288.lab.LA00996288.iso.1,WTCHG_934880_71605136,ERR9993062,SAMEA110420419,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9993062/ERR9993062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9993062/ERR9993062_2.fastq.gz
site.10.subj.JB00594596.lab.JB00594596.iso.1,WTCHG_933274_70855061,ERR9992667,SAMEA110420025,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992667/ERR9992667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992667/ERR9992667_2.fastq.gz
site.10.subj.JB00620858.lab.JB00620858.iso.1,WTCHG_933275_73405316,ERR9992689,SAMEA110420047,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9992689/ERR9992689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9992689/ERR9992689_2.fastq.gz
site.10.subj.JB00742314.lab.JB00742314.iso.1,WTCHG_933274_70875063,ERR9992669,SAMEA110420027,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9992669/ERR9992669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/009/ERR9992669/ERR9992669_2.fastq.gz
site.10.subj.JB00791296.lab.JB00791296.iso.1,WTCHG_934881_72485224,ERR9993136,SAMEA110420493,PRJEB55007,False,0,1,1,R,,,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9993136/ERR9993136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/006/ERR9993136/ERR9993136_2.fastq.gz
