batch_name,sample_name,remote_sample_name,remote_batch_name,remote_batch_id
06iidz.mapping.csv:mgit,ERR9993109,f0136139-9e64-4ae9-bf06-992eb154cffc,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993110,9212ad0e-d541-4de9-a5d1-2ca25b2bb539,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993111,beaf342e-b35d-4b4f-b548-4c5f215f0ac8,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993112,ffd70e9a-1017-43bd-a1da-3ba6056baebf,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993113,1ae24de8-99b7-47b9-a2ad-c949ba86e11a,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993114,3a1eec47-1070-4886-b068-d7766a2d677f,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993115,e2977cb9-ec2b-4365-997c-f353fe15ea4f,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993117,dac5d026-d991-403c-a00d-eeaca4a7e11c,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993118,20a1486d-124e-45a6-bad6-c8872a2a5689,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993120,8abc574a-5ba6-4b2c-bc61-ac667f82f049,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993124,314387c8-649d-486c-8b95-37578be52a0b,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993125,47b40e7d-218d-4bf6-8b32-f16dffe1c2b7,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993129,ffbeb398-e85f-4200-960c-910d52e5b31f,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993130,3f206c60-de17-406c-8634-9a4a342aa675,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993132,0985b9d7-c9ee-4fc8-bea7-718c4e9c7e6b,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993134,a5089163-d2b0-40f8-bdcf-012522d0afd5,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993135,3eae04a6-5fc7-49c3-bae6-5fde3d39e779,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993136,5f815684-6eed-4a94-a0cb-3cde2409c33b,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993137,957693b8-da66-4758-a236-074763e7edaa,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993138,ff5f7a87-d06a-45e4-9b42-fbba860cb71a,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993142,c4e8f2d0-d115-41b9-91d2-528161472346,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993143,e6fb8f50-06d1-4d61-b4ec-f6b873cd7db3,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993146,6fb2dfb5-bf1a-4707-899b-47ff98f0b5c1,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993148,faa22b54-3557-4abf-97d4-fd758ca1c869,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993149,6b2eeb5b-3ca1-4343-ab9c-0a156e8edd74,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993150,81b35ac0-9fe1-4812-a421-3b6acad0ea28,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
